starttime	summary
20170101	Rest
20170102	Rest
20170103	Rest
20170104	Rest
20170105	Chest
20170106	Pull 1
20170107	Running
20170108	Shoulders and Arms
20170109	Pull 2
20170110	Running
20170111	Chest
20170112	Pull 1
20170113	Running
20170114	Shoulders and Arms
20170115	Pull 2
20170116	Running
20170117	Chest
20170118	Pull 1
20170119	Running
20170120	Shoulders and Arms
20170121	Pull 2
20170122	Running
20170123	Pull 1
20170124	Chest
20170125	Running
20170126	Pull 2
20170127	Insane Chest and Dips
20170128	Running
20170129	Pull 2
20170130	Rest
20170131	Insane Chest and Dips
20170201	Rest
20170202	Running
20170203	Pull 1
20170204	Chest
20170205	Running
20170206	Pull 2
20170207	Insane Chest and Dips
20170208	Pull 1
20170209	Rest
20170210	Chest
20170211	Running
20170212	Pull 2
20170213	Insane Chest and Dips
20170214	Running
20170215	Pull 1
20170216	Chest
20170217	Pull 2
20170218	Rest
20170219	Running
20170220	Pull 1
20170221	Chest
20170222	Rest
20170223	Pull 2
20170224	Running
20170225	Rest
20170226	Pull 1
20170227	Chest
20170228	Running
20170301	Pull 2
20170302	Insane Chest and Dips
20170303	Running
20170304	Pull 1
20170305	Chest
20170306	Running
20170307	Pull 2
20170308	Insane Chest and Dips
20170309	Rest
20170310	Pull 2
20170311	Chest
20170312	Pull 1
20170313	Chest
20170314	Pull 2
20170315	Insane Chest and Dips
20170316	Pull 1
20170317	Rest
20170318	Chest
20170319	Pull 1
20170320	Insane Chest and Dips
20170321	Rest
20170322	Pull 2
20170323	Chest
20170324	Pull 1
20170325	Chest
20170326	Pull 2
20170327	Chest
20170328	Rest
20170329	Rest
20170330	Cardio
20170331	Insane Chest and Biceps
20170401	Pull 2 + Cardio
20170402	Texas + Cardio
20170403	Rest
20170404	Insane Chest
20170405	Cobra Back
20170406	Cardio
20170407	Cobra Back
20170408	Dorians Challenge
20170409	Insane Chest + Cardio
20170410	Rest
20170411	Back + Cardio
20170412	Insane Chest and Biceps
20170413	Cobra Back
20170414	Texas
20170415	Cardio
20170416	Rest
20170417	Running
20170418	Texas
20170419	Cobra Back
20170420	Texas
20170421	Insane Chest and Biceps
20170422	Texas
20170423	Running
20170424	Rest
20170425	Pull 1
20170426	Chest
20170427	Running
20170428	Cobra Back
20170429	Insane Chest
20170430	Pull 1 + Cardio
20170501	Chest
20170502	Running
20170503	Cobra Back + Abs
20170504	Chest
20170505	Running
20170506	Pull 1
20170507	Chest
20170508	Cobra Back
20170509	Texas + Cardio
20170510	Legs
20170511	Texas + Cardio
20170512	Chest
20170513	Cobra Back
20170514	Texas
20170515	Chest
20170516	Running
20170517	Back
20170518	Chest + Cardio
20170519	Texas
20170520	Legs
20170521	Texas
20170522	Chest
20170523	Running
20170524	Back
20170525	Running
20170526	Texas
20170527	Legs
20170528	Texas
20170529	Chest
20170530	Running
20170531	Back
20170601	Texas
20170602	Chest
20170603	Back
20170604	Legs
20170605	Texas
20170606	Chest
20170607	Back
20170608	Legs
20170609	Texas
20170610	Chest
20170611	Back
20170612	Legs
20170613	Texas
20170614	Rest
20170615	Chest
20170616	Back
20170617	Legs
20170618	Texas
20170619	Back
20170620	Rest
20170621	Rest
20170622	Back
20170623	Chest
20170624	Back
20170625	Chest + Back
20170626	Chest and Biceps
20170627	Back
20170628	Chest and Biceps + Back
20170629	Upper Body
20170630	Chest and Biceps
20170701	Texas
20170702	Cobra Back
20170703	Chest and Biceps
20170704	Back
20170705	Chest and Triceps and Core
20170706	Back and Biceps and Core
20170707	Chest and Triceps and Core
20170708	Back and Biceps
20170709	Rest
20170710	Chest and Core
20170711	Back
20170712	Legs and Core
20170713	Chest and Core
20170714	Back
20170715	Upper Body
20170716	Rest
20170717	Chest and Core and Rotator Cuffs
20170718	Back and Knee Conditioning
20170719	Chest and Core and Rotator Cuffs
20170720	Back and Knee Conditioning
20170721	Chest and Back and Knee Conditioning
20170722	Upper Body
20170723	Rest
20170724	Back and Knee Conditioning
20170725	Half Squats and Chest and Core
20170726	Back and Knee Conditioning
20170727	Chest and Core and Rotator Cuffs
20170728	Back and Knee Conditioning
20170729	Insane Chest and Push and Core
20170730	Cycling + Cobra Back
20170731	Chest
20170801	Back
20170802	Legs
20170803	Compound and Core
20170804	Back
20170805	Insane Chest and Push
20170806	Cobra Back and Core
20170807	Chest
20170808	Legs
20170809	Back
20170810	Chest and Core
20170811	Compound
20170812	Cobra Back and Core
20170813	Texas
20170814	Can't Walk and Core
20170815	Insane Chest and Push
20170816	Cobra Back and Pull
20170817	Chest and Core
20170818	Back
20170819	Can't Walk
20170820	Texas and Dips and Core
20170821	Compound + Chest
20170822	Back
20170823	Legs and Core
20170824	Compound
20170825	Back and Core
20170826	Insane Chest and Push
20170827	Rest
20170828	Legs and Core
20170829	Chest and Core
