id,content,start
1,Rest,20170101
2,Rest,20170102
3,Rest,20170103
4,Rest,20170104
5,Chest,20170105
6,Pull 1,20170106
7,Running,20170107
8,Shoulders and Arms,20170108
9,Pull 2,20170109
10,Running,20170110
11,Chest,20170111
12,Pull 1,20170112
13,Running,20170113
14,Shoulders and Arms,20170114
15,Pull 2,20170115
16,Running,20170116
17,Chest,20170117
18,Pull 1,20170118
19,Running,20170119
20,Shoulders and Arms,20170120
21,Pull 2,20170121
22,Running,20170122
23,Pull 1,20170123
24,Chest,20170124
25,Running,20170125
26,Pull 2,20170126
27,Insane Chest and Dips,20170127
28,Running,20170128
29,Pull 2,20170129
30,Rest,20170130
31,Insane Chest and Dips,20170131
32,Rest,20170201
33,Running,20170202
34,Pull 1,20170203
35,Chest,20170204
36,Running,20170205
37,Pull 2,20170206
38,Insane Chest and Dips,20170207
39,Pull 1,20170208
40,Rest,20170209
41,Chest,20170210
42,Running,20170211
43,Pull 2,20170212
44,Insane Chest and Dips,20170213
45,Running,20170214
46,Pull 1,20170215
47,Chest,20170216
48,Pull 2,20170217
49,Rest,20170218
50,Running,20170219
51,Pull 1,20170220
52,Chest,20170221
53,Rest,20170222
54,Pull 2,20170223
55,Running,20170224
56,Rest,20170225
57,Pull 1,20170226
58,Chest,20170227
59,Running,20170228
60,Pull 2,20170301
61,Insane Chest and Dips,20170302
62,Running,20170303
63,Pull 1,20170304
64,Chest,20170305
65,Running,20170306
66,Pull 2,20170307
67,Insane Chest and Dips,20170308
68,Rest,20170309
69,Pull 2,20170310
70,Chest,20170311
71,Pull 1,20170312
72,Chest,20170313
73,Pull 2,20170314
74,Insane Chest and Dips,20170315
75,Pull 1,20170316
76,Rest,20170317
77,Chest,20170318
78,Pull 1,20170319
79,Insane Chest and Dips,20170320
80,Rest,20170321
81,Pull 2,20170322
82,Chest,20170323
83,Pull 1,20170324
84,Chest,20170325
85,Pull 2,20170326
86,Chest,20170327
87,Rest,20170328
88,Rest,20170329
89,Cardio,20170330
90,Insane Chest and Biceps,20170331
91,Pull 2 + Cardio,20170401
92,Texas + Cardio,20170402
93,Rest,20170403
94,Insane Chest,20170404
95,Cobra Back,20170405
96,Cardio,20170406
97,Cobra Back,20170407
98,Dorians Challenge,20170408
99,Insane Chest + Cardio,20170409
100,Rest,20170410
101,Back + Cardio,20170411
102,Insane Chest and Biceps,20170412
103,Cobra Back,20170413
104,Texas,20170414
105,Cardio,20170415
106,Rest,20170416
107,Running,20170417
108,Texas,20170418
109,Cobra Back,20170419
110,Texas,20170420
111,Insane Chest and Biceps,20170421
112,Texas,20170422
113,Running,20170423
114,Rest,20170424
115,Pull 1,20170425
116,Chest,20170426
117,Running,20170427
118,Cobra Back,20170428
119,Insane Chest,20170429
120,Pull 1 + Cardio,20170430
121,Chest,20170501
122,Running,20170502
123,Cobra Back + Abs,20170503
124,Chest,20170504
125,Running,20170505
126,Pull 1,20170506
127,Chest,20170507
128,Cobra Back,20170508
129,Texas + Cardio,20170509
130,Legs,20170510
131,Texas + Cardio,20170511
132,Chest,20170512
133,Cobra Back,20170513
134,Texas,20170514
135,Chest,20170515
136,Running,20170516
137,Back,20170517
138,Chest + Cardio,20170518
139,Texas,20170519
140,Legs,20170520
141,Texas,20170521
142,Chest,20170522
143,Running,20170523
144,Back,20170524
145,Running,20170525
146,Texas,20170526
147,Legs,20170527
148,Texas,20170528
149,Chest,20170529
150,Running,20170530
151,Back,20170531
152,Texas,20170601
153,Chest,20170602
154,Back,20170603
155,Legs,20170604
156,Texas,20170605
157,Chest,20170606
158,Back,20170607
159,Legs,20170608
160,Texas,20170609
161,Chest,20170610
162,Back,20170611
163,Legs,20170612
164,Texas,20170613
165,Rest,20170614
166,Chest,20170615
167,Back,20170616
168,Legs,20170617
169,Texas,20170618
170,Back,20170619
171,Rest,20170620
172,Rest,20170621
173,Back,20170622
174,Chest,20170623
175,Back,20170624
176,Chest + Back,20170625
177,Chest and Biceps,20170626
178,Back,20170627
179,Chest and Biceps + Back,20170628
180,Upper Body,20170629
181,Chest and Biceps,20170630
182,Texas,20170701
183,Cobra Back,20170702
184,Chest and Biceps,20170703
185,Back,20170704
186,Chest and Triceps and Core,20170705
187,Back and Biceps and Core,20170706
188,Chest and Triceps and Core,20170707
189,Back and Biceps,20170708
190,Rest,20170709
191,Chest and Core,20170710
192,Back,20170711
193,Legs and Core,20170712
194,Chest and Core,20170713
195,Back,20170714
196,Upper Body,20170715
197,Rest,20170716
198,Chest and Core and Rotator Cuffs,20170717
199,Back and Knee Conditioning,20170718
200,Chest and Core and Rotator Cuffs,20170719
201,Back and Knee Conditioning,20170720
202,Chest and Back and Knee Conditioning,20170721
203,Upper Body,20170722
204,Rest,20170723
205,Back and Knee Conditioning,20170724
206,Half Squats and Chest and Core,20170725
207,Back and Knee Conditioning,20170726
208,Chest and Core and Rotator Cuffs,20170727
209,Back and Knee Conditioning,20170728
210,Insane Chest and Push and Core,20170729
211,Cycling + Cobra Back,20170730
212,Chest,20170731
213,Back,20170801
214,Legs,20170802
215,Compound and Core,20170803
216,Back,20170804
217,Insane Chest and Push,20170805
218,Cobra Back and Core,20170806
219,Chest,20170807
220,Legs,20170808
221,Back,20170809
222,Chest and Core,20170810
223,Compound,20170811
224,Cobra Back and Core,20170812
225,Texas,20170813
226,Can't Walk and Core,20170814
227,Insane Chest and Push,20170815
228,Cobra Back and Pull,20170816
229,Chest and Core,20170817
230,Back,20170818
231,Can't Walk,20170819
232,Texas and Dips and Core,20170820
233,Compound + Chest,20170821
234,Back,20170822
235,Legs and Core,20170823
236,Compound,20170824
237,Back and Core,20170825
238,Insane Chest and Push,20170826
239,Rest,20170827
240,Legs and Core,20170828
241,Chest and Core,20170829
242,Back,20170830
243,Compound,20170831
244,Legs and Core,20170901
245,Chest,20170902
246,Cobra Back and Pull,20170903
247,Legs and Core,20170904
248,Back,20170905
